,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
3154,Spirit Lake,IA,0.0,14540.0,4.0,2.0,14960.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
3155,Spokane,WA,13696.0,13007.0,2.8,1.2,14087.0,0.2,1.0,1.4,0.4,0.4,0.0,1.4,1.4
3156,Spooner,WI,0.0,16405.0,3.0,2.0,18577.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0
3157,Spring Valley,IL,0.0,17735.0,3.0,2.0,17626.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
3158,Springdale,AR,12611.0,8556.5,1.0,0.5,7959.0,-0.5,0.5,0.5,-0.5,0.5,0.0,0.0,0.5
3159,Springerville,AZ,0.0,0.0,4.0,2.0,14510.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
3160,Springfield,CO,0.0,15607.0,-1.0,2.0,15215.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,2.0
3161,Springfield,GA,0.0,0.0,4.0,2.0,17199.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,-1.0
3162,Springfield,IL,23648.5,17036.5,2.5,1.5,17972.5,0.0,1.0,1.0,1.5,1.0,0.0,2.0,2.5
3163,Springfield,MA,15268.0,11644.333333333334,1.3333333333333333,0.6666666666666666,11443.333333333334,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,1.0,1.3333333333333333
3164,Springfield,MN,0.0,0.0,-1.0,2.0,15959.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,2.0,-1.0
3165,Springfield,MO,22487.5,15932.5,4.0,2.0,17830.5,0.5,2.0,2.0,0.0,0.5,0.5,2.5,1.5
3166,Springfield,OH,13663.0,9399.0,3.0,0.5,10143.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0
3167,Springfield,OR,23063.5,15223.5,3.0,2.0,15031.5,0.5,1.0,2.0,0.5,1.0,0.0,1.0,1.0
3168,Springfield,TN,23198.0,17087.0,1.0,1.0,17237.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0
3169,Springfield,VT,23117.0,15643.0,3.0,2.0,14722.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,2.0
3170,Springhill,LA,0.0,16835.0,4.0,2.0,16393.0,1.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0
3171,Springville,NY,0.0,15623.0,2.0,2.0,16991.0,1.0,-1.0,0.0,0.0,1.0,2.0,2.0,2.0
3172,Spruce Pine,NC,0.0,16299.0,4.0,2.0,16804.0,1.0,-1.0,2.0,2.0,1.0,2.0,2.0,2.0
3173,St Croix,VI,20088.0,13420.0,2.0,2.0,13038.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
3174,St Francis,KS,0.0,0.0,-1.0,2.0,21278.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.0,-1.0
3175,St George,UT,23426.0,17562.0,4.0,2.0,16282.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
