Province_State,Quarter,value
Virginia,Q12021,66443915
Virginia,Q22020,4901288
Virginia,Q22021,62345102
Virginia,Q32020,12446742
Virginia,Q32021,47065392
Virginia,Q42020,15272121
Washington,Q12020,370752
Washington,Q12021,40397946
Washington,Q22020,2780061
Washington,Q22021,40710489
Washington,Q32020,7653723
Washington,Q32021,34368186
Washington,Q42020,10767547
West Virginia,Q12020,21837
West Virginia,Q12021,15523137
West Virginia,Q22020,263609
West Virginia,Q22021,14912982
West Virginia,Q32020,1266497
West Virginia,Q32021,11924293
West Virginia,Q42020,3128146
Wisconsin,Q12020,128212
Wisconsin,Q12021,73301861
Wisconsin,Q22020,2328678
Wisconsin,Q22021,62126270
Wisconsin,Q32020,10237092
Wisconsin,Q32021,45036911
Wisconsin,Q42020,24655909
Wyoming,Q12020,10542
Wyoming,Q12021,6433383
Wyoming,Q22020,120491
Wyoming,Q22021,5644946
Wyoming,Q32020,521713
Wyoming,Q32021,4643983
Wyoming,Q42020,1937562
